0NJ8,heliport,40.702301,-74.150703,10,,365268,53.52,293693,217175
0NJ9,heliport,40.477299,-74.407898,70,,333328,54.96,272922,191366
0NK0,small_airport,42.334000,-78.790901,1690,,404919,346.42,-95106,393592
0NK1,small_airport,43.361698,-76.220200,450,,520896,12.69,114466,508164
0NK2,small_airport,42.983398,-74.016197,800,,555663,32.02,294582,471150
0NK3,small_airport,42.695653,-77.792451,600,,433393,358.29,-12909,433201
0NK4,heliport,40.726482,-73.552773,80,,409347,57.16,343947,221958
0NK5,closed,41.606201,-73.827599,270,,449250,44.81,316609,318723
0NK6,small_airport,42.438400,-76.088799,1280,,425079,17.37,126938,405684
0NK7,heliport,41.102790,-73.725087,470,,420196,51.23,327601,263140
0NK8,closed,41.920898,-73.670403,450,,482854,42.80,328101,354257
0NK9,closed,43.009449,-75.826006,1050,,492107,17.40,147191,469579
0NY0,small_airport,43.692973,-73.978013,1040,,623929,28.15,294334,550141
0NY1,small_airport,43.139198,-73.653198,260,,586823,33.43,323327,489715
0NY2,heliport,41.231009,-74.047353,507,,407858,47.36,300033,276276
0NY3,small_airport,43.313999,-74.932098,1440,,550642,23.42,218873,505273
0NY4,heliport,41.982698,-73.963206,133,,470999,40.13,303589,360103
0NY5,closed,43.076570,-75.648730,507,,503911,18.69,161446,477349
0NY6,heliport,42.928843,-76.615734,600,,467034,10.24,83026,459595
0NY7,small_airport,43.026623,-74.177055,940,,552422,30.61,281297,475439
0NY8,small_airport,42.997299,-74.245399,800,,546676,30.31,275866,471967
0OH1,heliport,41.443901,-81.327599,1250,,430079,314.28,-307885,300292
0OH2,closed,39.970604,-83.911598,1080,,554809,285.53,-534543,148584
0OH3,heliport,39.279202,-84.564697,865,,600745,277.26,-595929,75913
0OH4,heliport,40.085621,-84.228562,867,,583844,286.24,-560556,163250
0OH6,small_airport,39.600601,-84.019699,775,,557232,281.19,-546634,108163
0OH7,small_airport,40.152721,-84.173355,1000,,580873,287.05,-555331,170358
0OH8,small_airport,40.188400,-84.256104,900,,588616,287.28,-562055,174824
0OH9,closed,40.071700,-83.229897,943,,500798,288.15,-475871,156031
0OI0,heliport,40.735901,-81.246803,1012,,376320,306.03,-304351,221331
0OI1,closed,41.179199,-83.415199,759,,558862,300.06,-483674,279975
0OI2,small_airport,39.359798,-83.417702,940,,502957,278.92,-496873,77997
0OI3,small_airport,41.382099,-82.716103,643,,518793,305.20,-423950,299020
0OI4,closed,41.324265,-81.159309,1250,,410745,314.22,-294390,286436
0OI6,small_airport,41.838100,-80.643700,860,,423273,323.90,-249386,342004
0OI9,small_airport,38.894501,-83.113503,830,,474523,272.99,-473878,24724
0P0,closed,40.121201,-75.405998,260,,241216,51.78,189502,149246
0P2,small_airport,39.795243,-76.647678,1000,,139505,37.19,84323,111136
0PA0,small_airport,40.331227,-75.248125,670,,266145,49.48,202303,172935
0PA1,heliport,40.118198,-75.401299,252,,241336,51.90,189910,148922
0PA2,small_airport,40.316799,-77.124702,600,,174245,14.37,43237,168795
0PA3,small_airport,41.747319,-76.760624,1207,,336017,12.47,72539,328093
0PA4,small_airport,40.237598,-76.724701,380,,177899,25.73,77244,160254
0PA5,small_airport,41.494499,-79.830902,1500,,352991,328.78,-182986,301859
0PA6,small_airport,40.630901,-77.850304,760,,204434,354.89,-18205,203621
0PA7,closed,39.884801,-75.414902,180,,225799,57.01,189392,122945
0PA8,heliport,41.399909,-75.646682,508,,334899,29.69,165865,290940
0PA9,heliport,40.333401,-75.216301,415,,268397,49.80,204994,173248
0PN0,small_airport,41.441875,-80.155370,1335,,363616,324.69,-210183,296715
0PN1,seaplane_base,40.699402,-79.618896,757,,270889,321.86,-167304,213050
0PN2,small_airport,41.073101,-80.070297,1247,,327104,321.37,-204220,255522
0PN3,heliport,40.158699,-75.463402,186,,239891,50.28,184521,153297
0PN4,small_airport,40.412899,-77.241402,960,,182494,10.51,33295,179431
0PN5,small_airport,41.779202,-79.598396,1761,,370773,333.94,-162908,333066
0PN6,small_airport,40.168999,-77.992500,1138,,155305,348.71,-30412,152299
0PN7,small_airport,40.128300,-77.631401,680,,147713,0.11,273,147713
0PN8,small_airport,41.606394,-79.684181,1560,,357302,331.50,-170473,314012
0PN9,closed,41.719501,-79.677803,1645,,368012,332.55,-169650,326575
0PS0,small_airport,41.370899,-79.341698,1560,,320638,333.61,-142496,287235
0PS1,closed,39.981499,-76.671402,420,,155287,31.91,82074,131825
0PS2,closed,40.989498,-75.751297,1285,,291690,32.82,158108,245122
0PS3,small_airport,40.490398,-76.766602,800,,202132,21.30,73414,188329
0PS4,small_airport,41.009746,-78.561838,1980,,258135,342.45,-77820,246126
0PS5,heliport,40.879299,-75.192703,660,,311310,41.27,205334,233990
0PS6,heliport,39.949501,-76.553299,485,,158046,35.68,92180,128380
